ID de projet,Nom de simulation,Total travaux TTC (OLD),Total travaux TTC (NEW),Total subventions (OLD),Total subventions (NEW),Reste à charge (OLD),Reste à charge (NEW),% \subvention sur le TTC (OLD),% \subvention sur le TTC (NEW),Total avances (OLD),Total avances (NEW)
5470,Simulation 1,33990.0,33990.0,15714.0,15714.0,18276.0,18276.0,46,46.0,None
6339,Simulation 1,37319.0,37319.0,18849.25,18849.25,26819.0,26819.0,51,28.0,None
6376,Simulation 1,78140.0,78140.0,43939.95,67100.0,34200.05,11040.0,56,174.0,None
6093,Simulation 1,513357.33,570568.33,138696.95,138696.95,374660.38,431871.38,27,112.0,None
689,Simulation 1,0.0,0,12289.85,13889.85,0.0,0,0,0,None
6842,Logement rdc 125m2,0.0,0,0.0,0.0,0.0,0,0,0,None
6842,TL lgt 1 & 2,0.0,0,46110.0,46110.0,0.0,0,0,0,None
5472,Simulation 1,143000.0,154000.0,43000.0,38000.0,100000.0,116000.0,30,57.0,None
797,Simulation Anah,791631.34,791631.3400000001,27823.0,27823.0,763808.34,763808.34,4,4.0,None
5458,Simulation 1,53900.0,53900.0,25090.0,27540.0,28810.0,26360.0,47,51.0,None
7971,Simulation 1,13750.0,13750.0,3125.0,3125.0,10625.0,10625.0,23,23.0,None
117,Simulation 1,,8698.91,,8698.91,,0.0,,100.0,,0
695,Simulation 1,,9328.83,,8040.025,,1288.8050000000003,,86.0,,0
695,Copie de Simulation 1,,9328.83,,9328.375,,0.45499999999992724,,100.0,,0
163,Simulation 1,,21565.54,,13154.4445,,8411.095500000001,,61.0,,0.0
11013,Simulation 1,80136.98,80136.98,8000.0,8000.0,80136.98,80136.98,10,0.0,None
3344,Etude,,13820.78,,0,,13820.78,,0.0,,0
917,Dépôt,,7394.26,,6516.615,,877.6450000000004,,88.0,,1008.3075
917,Demande Paiement,,7394.26,,6516.615,,877.6450000000004,,88.0,,1008.3075
14807,Simulation 1,12.0,0,0.0,0,12.0,0,0,0,None
5481,agrément,0.0,0,3718.2,3718.2,0.0,0,0,0,None
5481,Simulation 1,0.0,0,4957.6,4957.6,0.0,0,0,0,None
7374,Simulation 1,80000.0,80000.0,41000.0,41500.0,39000.0,38500.0,51,52.0,None
7986,Simulation 1,7800.0,0,5200.0,5200.0,2600.0,0,67,0,None
8336,Dépôt,0.0,0,8000.0,8000.0,0.0,0,0,0,None
